"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 768;2025-10-10;PEGASUS Turkey flight - Company travel;;;867,14;;11 026,96
;A 803;2025-11-25;Booking.com flight EUR 624.99 EUR kurs 1.15685;;;7 187,39;;18 214,35
;A 804;2025-11-25;Booking.com USD 0.98 USD;;;9,02;;18 223,37
;A 805;2025-11-27;Forex EUR 2.91 EUR kurs 10.9894;;;25,61;;18 248,98
;A 806;2025-11-27;Arlanda Walk Through EUR 32.00 EUR kurs 10.9989;;;281,60;;18 530,58
;A 807;2025-11-27;Jureskog mat EUR 52.65 EUR kurs 10.9975;;;516,96;;19 047,54
;A 808;2025-11-27;Take Away Mart EUR 4.46 EUR kurs 10.9952;;;43,75;;19 091,29
;A 809;2025-11-28;Beijing Airport mat EUR 0.98 EUR kurs 8.19996 CNY;;;10,90;;19 102,19
;A 819;2025-12-11;Beijing mat USD 75.61 USD kurs 7.0621 CNY;;;700,65;;19 802,84
;A 820;2025-12-11;Malardalstrafik USD 79.49 USD kurs 9.23423;;;692,45;;20 495,29
;A 823;2025-12-12;Fadushka mat USD 2.16 USD kurs 9.27977;;;17,86;;20 513,15
;;;"""Utgående saldo:""";;0,00;20 513,15;0,00;20 513,15
;;;;;;;;
5830 Kost och logi;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 8;2024-08-26;(THE GREEN OTEL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing;;;2 484,60;;2 484,60
;A 85;2024-12-04;utgift/kostnad (hotel Booking.com );;;1 985,03;;4 469,63
;A 82;2024-12-21;utgift/kostnad (hotel Booking.com );;;3 475,58;;7 945,21
;;;"""Utgående saldo:""";;0,00;7 945,21;0,00;7 945,21
;;;;;;;;
5890 Övriga resekostnader;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 4;2024-08-01;Business Travel: Airfare for M.S. Alsharef, supplier sourcing;;;1 306,49;;1 306,49
;A 160;2024-08-25;(EDREAMS 348577891 MADRID);;;1 251,06;;2 557,55
;A 6;2024-08-26;(PEGASUS ISTANBUL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing;;;1 039,99;;3 597,54
;A 146;2024-08-26;sipay/taksi yonetim;;;440,65;;4 038,19
;A 145;2024-08-27;uber *trip;;;40,06;;4 078,25
;A 10;2024-09-06;(AJET.COM ISTANBUL);;;291,57;;4 369,82
;A 161;2024-09-06;( mlartg);;;348,00;;4 717,82
;A 144;2024-09-12;Pegasus hava tasimacilik;;;154,66;;4 872,48
;A 158;2024-10-03;Ryanair Ltd. Dublin;;;192,08;;5 064,56
;A 162;2024-10-03;OPODO internet transaktion;;;5 967,68;;11 032,24
;A 80;2024-12-06;utgift/kostnad (hotel Booking.com );;;1 971,52;;13 003,76
;;;"""Utgående saldo:""";;0,00;13 003,76;0,00;13 003,76
;;;;;;;;
5900 Reklam och PR (gruppkonto);;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 607;2025-06-30;Allokering marknadsfringskostnader frÑn import;;;37 738,29;;37 738,29
;A 618;2025-06-30;MarknadsfringsgÑvor enligt 15% policy fr kinaprodukter;;;18 181,70;;55 919,99
;A 622;2025-07-01;Clear opening 1469 balance - previous period marketing gifts;;;;18 180,90;37 739,09
;A 628;2025-07-01;TikTok advertising;;;55,77;;37 794,86
;A 754;2025-07-15;Shopify EUR card purchase - Wise USD;;;398,01;;38 192,87
;A 639;2025-07-19;TikTok Ads - Marketing expense;;;2 000,00;;40 192,87
;A 667;2025-08-01;Facebook advertising;;;125,00;;40 317,87
;A 681;2025-08-16;Shopify advertising EUR;;;409,08;;40 726,95
;A 692;2025-08-28;TikTok advertising;;;90,00;;40 816,95
;A 693;2025-08-29;TikTok reversal credit;;;;90,00;40 726,95
;A 694;2025-08-29;Facebook advertising;;;138,00;;40 864,95
;A 695;2025-08-29;Facebook advertising;;;21,09;;40 886,04
;A 696;2025-08-29;Facebook advertising;;;152,00;;41 038,04
;A 697;2025-08-29;Facebook advertising;;;14,55;;41 052,59
;A 698;2025-08-30;Facebook advertising;;;167,00;;41 219,59
;A 699;2025-08-30;Facebook advertising;;;49,33;;41 268,92
;A 700;2025-08-31;Facebook advertising;;;184,00;;41 452,92
;A 701;2025-08-31;Facebook advertising;;;45,23;;41 498,15
;A 705;2025-09-01;TikTok advertising;;;267,72;;41 765,87
;A 708;2025-09-02;Facebook ad credit reversal;;;;184,00;41 581,87
;A 750;2025-09-02;Shopify advertising EUR;;;156,65;;41 738,52
;A 712;2025-09-03;Facebook advertising;;;65,77;;41 804,29
;A 715;2025-09-04;Facebook advertising;;;202,00;;42 006,29
;A 716;2025-09-04;Facebook advertising;;;184,00;;42 190,29
;A 717;2025-09-04;Facebook advertising;;;221,00;;42 411,29
;A 718;2025-09-04;Facebook advertising;;;18,73;;42 430,02
;A 719;2025-09-04;Facebook advertising;;;241,00;;42 671,02
;A 726;2025-09-13;Shopify advertising EUR;;;400,82;;43 071,84
;A 734;2025-09-24;TikTok advertising;;;1 588,00;;44 659,84
;A 625;2025-09-30;Expense Q3 2025 marketing gifts - clean 1469 to zero;;;11 337,54;;55 997,38
;A 743;2025-09-30;St1 Gillbergaplan fuel;;;784,62;;56 782,00
;A 985;2025-10-01;TikTok Ads - Marknadsforing;;;1 070,11;;57 852,11
;A 1009;2025-10-05;Tubekick - Underhllning/Fretag;;;104,85;;57 956,96
;A 792;2025-11-01;TikTok Ads SEK 748.05 SEK;;;748,05;;58 705,01
;A 794;2025-11-01;TikTok Ads EUR 23.45 EUR kurs 10.9513;;;256,81;;58 961,82
;A 800;2025-11-19;TikTok Ads EUR 178.32 EUR kurs 11.0027;;;1 962,00;;60 923,82
;A 965;2025-11-28;Kontantuttagsavgift - Remamber kort avgift;;;240,00;;61 163,82
;A 989;2025-12-01;TikTok Ads - Marknadsforing;;;29,03;;61 192,85
;A 990;2025-12-03;TikTok Ads - Marknadsforing;;;2 744,00;;63 936,85
;A 966;2025-12-05;Aviavgift - Remamber kortavgift;;;31,20;;63 968,05
;A 967;2025-12-05;vertrasseringsavgift - Remamber;;;76,00;;64 044,05
;A 832;2025-12-25;TikTok Ads USD 179.76 USD kurs 9.17929;;;1 650,10;;65 694,15
;A 839;2025-12-30;TikTok Ads USD 152.94 USD kurs 9.19322;;;1 406,00;;67 100,15
;A 840;2025-12-31;TikTok Ads USD 152.46 USD kurs 9.22201;;;1 406,00;;68 506,15
;A 960;2025-12-31;Reklamgvor till kunder Q4 2025;;;26 237,95;;94 744,10
;;;"""Utgående saldo:""";;0,00;113 199,00;18 454,90;94 744,10
;;;;;;;;
5910 Annonsering;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 141;2024-10-01;Google GSUITE-samisjack (google workspace);;;10,64;;10,64
;A 71;2024-11-13;(google ads 5215017274);;;100,00;;110,64
;A 132;2024-11-17;(google ads5215017274);;;500,00;;610,64
;A 101;2024-11-18;Tiktok Ads*tiktok Ads Dublin;;;90,00;;700,64
;A 102;2024-11-18;Tiktok Ads* tiktok Ads Dublin;;;90,00;;790,64
;A 103;2024-11-18;Tiktok Ads*tiktok Ads Dublin;;;40,00;;830,64
;A 104;2024-11-19;Tiktok Ads*tiktok Ads Dublin;;;180,00;;1 010,64
;A 131;2024-11-19;SNAP *snap ads;;;262,52;;1 273,16
;A 105;2024-11-20;Tiktok Ads*tiktok Ads Dublin;;;450,00;;1 723,16
;A 128;2024-11-20;Google GSUITE-samisjack (google workspace);;;1 000,00;;2 723,16
;A 130;2024-11-20;SNAP *snap ads;;;223,16;;2 946,32
;A 72;2024-11-21;utgift/kostnad (google ads 5215017274);;;2 000,00;;4 946,32
;A 129;2024-11-21;SNAP *snap ads;;;157,80;;5 104,12
;A 73;2024-11-23;utgift/kostnad (google ads 5215017274);;;3 500,00;;8 604,12
;A 100;2024-11-23;tiktok ads;;;450,00;;9 054,12
;A 106;2024-11-25;Tiktok Ads*tiktok Ads London;;;450,00;;9 504,12
;A 107;2024-11-26;Facebook Ads /Dublin;;;315,00;;9 819,12
;A 108;2024-11-27;Facebook Ads /Dublin;;;492,00;;10 311,12
;A 109;2024-11-28;Facebook Ads /Dublin;;;783,00;;11 094,12
;A 110;2024-11-29;Facebook Ads /Dublin;;;344,00;;11 438,12
;A 111;2024-11-30;Facebook Ads /Dublin;;;379,00;;11 817,12
;A 116;2024-11-30;utgift/kostnad (google ads);;;7 100,00;;18 917,12
;A 81;2024-12-01;(google ads 5215017274);;;2 708,96;;21 626,08
;A 112;2024-12-01;Tiktok Ads*tiktok Ads London;;;66,41;;21 692,49
;A 113;2024-12-01;Facebook Ads /Dublin;;;417,00;;22 109,49
;A 114;2024-12-02;Facebook Ads /Dublin;;;459,00;;22 568,49
;A 118;2024-12-03;meta facebook ads;;;505,00;;23 073,49
;A 127;2024-12-03;Google GSUITE-samisjack (google workspace);;;162,14;;23 235,63
;A 119;2024-12-04;meta facebook ads;;;556,00;;23 791,63
;A 120;2024-12-08;meta facebook ads;;;556,63;;24 348,26
;A 121;2024-12-25;meta facebook ads;;;464,60;;24 812,86
;A 122;2024-12-28;meta facebook ads;;;556,00;;25 368,86
;A 123;2024-12-28;meta facebook ads;;;612,00;;25 980,86
;A 258;2025-01-20;Viva Wallet Card Purchase - FACEBK *4SMPEFYP52;;;50,00;;26 030,86
;A 259;2025-01-20;Viva Wallet Card Purchase - FACEBK *9R5X8G8Q52;;;22,00;;26 052,86
;A 260;2025-01-20;Viva Wallet Card Purchase - FACEBK *73Q8KHUQ52;;;18,00;;26 070,86
;A 261;2025-01-20;Viva Wallet Card Purchase - FACEBK *26JAVGGQ52;;;22,00;;26 092,86
;A 262;2025-01-20;Viva Wallet Card Purchase - FACEBK *Y3Y8EFYP52;;;22,00;;26 114,86
;A 263;2025-01-20;Viva Wallet Card Purchase - FACEBK *XV4LEFYP52;;;15,00;;26 129,86
;A 264;2025-01-20;Viva Wallet Card Purchase - FACEBK *SZTWUGGQ52;;;21,00;;26 150,86
;A 265;2025-01-20;Viva Wallet Card Purchase - FACEBK *GY53QFUP52;;;22,00;;26 172,86
;A 266;2025-01-20;Viva Wallet Card Purchase - FACEBK *F95NHGQQ52;;;22,00;;26 194,86
;A 267;2025-01-20;Viva Wallet Card Purchase - FACEBK *AE7DEFYP52;;;22,00;;26 216,86
;A 268;2025-01-20;Viva Wallet Card Purchase - FACEBK *8RHZBG4Q52;;;33,00;;26 249,86
;A 269;2025-01-20;Viva Wallet Card Purchase - FACEBK *Z2VMEFYP52;;;33,00;;26 282,86
;A 270;2025-01-20;Viva Wallet Card Purchase - FACEBK *ZHKQEFYP52;;;19,00;;26 301,86
;A 251;2025-01-21;Viva Wallet Card Purchase - FACEBK *E4QVEFYP52;;;50,00;;26 351,86
;A 252;2025-01-21;Viva Wallet Card Purchase - FACEBK *PBLRLFLQ52;;;50,00;;26 401,86
;A 253;2025-01-21;Viva Wallet Card Purchase - FACEBK *NDBXCG4Q52;;;27,00;;26 428,86
;A 243;2025-01-25;Viva Wallet Card Purchase - FACEBK *F9GBGG8Q52;;;16,00;;26 444,86
;A 203;2025-02-08;Viva Wallet Card Purchase - TikTok Ads;;;728,00;;27 172,86
;A 197;2025-02-10;Viva Wallet Card Purchase - TikTok Ads;;;728,00;;27 900,86
;A 198;2025-02-10;Viva Wallet Card Purchase - FACEBK *3L4QAGYC72;;;417,00;;28 317,86
;A 179;2025-03-01;Viva Wallet Card Purchase - TikTok Ads;;;58,00;;28 375,86
;;;"""Utgående saldo:""";;0,00;28 375,86;0,00;28 375,86
;;;;;;;;
5911 AI-marknadsforingsverktyg;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 156;2024-11-14;AI-marknadsfring OPENAI;;;112,11;;112,11
;A 157;2024-11-29;AI-marknadsfring PictoryAI;;;2 616,99;;2 729,10
;A 148;2024-12-27;AI-marknadsfring;;;11,30;;2 740,40
;;;"""Utgående saldo:""";;0,00;2 740,40;0,00;2 740,40
;;;;;;;;
5920 Utomhus- och trafikreklam;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 680;2025-08-16;Clas Ohlson business supplies;;;63,92;;63,92
;A 682;2025-08-16;IN & FINN AB business supplies;;;192,80;;256,72
;;;"""Utgående saldo:""";;0,00;256,72;0,00;256,72
;;;;;;;;
6110 Kontorsmateriel;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 34;2024-10-11;biltema;;;641,60;;641,60
;A 54;2024-11-07;Clas Ohlson;;;144,02;;785,62
;;;"""Utgående saldo:""";;0,00;785,62;0,00;785,62
;;;;;;;;
6212 Mobiltelefon;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 152;2024-10-24;apple.com bill;;;250,00;;250,00
;A 133;2024-11-16;apple.com bill;;;18,00;;268,00
;A 149;2024-11-18;apple.com bill;;;39,00;;307,00
;A 151;2024-11-30;apple.com bill;;;249,00;;556,00
;A 124;2024-12-01;hallon tele;;;95,00;;651,00
;A 86;2024-12-04;(yesim) simkort;;;235,82;;886,82
;A 87;2024-12-05;(yesim) simkort;;;560,39;;1 447,21
;A 125;2024-12-16;apple.com bill;;;18,00;;1 465,21
;A 147;2024-12-27;apple.com bill;;;39,00;;1 504,21
;A 155;2024-12-27;apple.com bill;;;35,06;;1 539,27
;A 775;2025-10-02;Hallon SEK 100.00 SEK;;;80,00;;1 619,27
;A 776;2025-10-02;Hallon USD 9.40 USD kurs 9.35988;;;70,40;;1 689,67
;A 795;2025-11-02;Hallon EUR 11.78 EUR kurs 10.9513;;;103,20;;1 792,87
;A 924;2025-12-15;Fretag mobil Telia 47460035;;;455,20;;2 248,07
;;;"""Utgående saldo:""";;0,00;2 248,07;0,00;2 248,07
;;;;;;;;
6250 Postbefordran;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 641;2025-07-07;Bolagsverket registration fee;;;507,00;;507,00
;A 652;2025-07-18;Administrative fee payment;;;500,00;;1 007,00
;A 655;2025-07-22;Administrative fee payment;;;250,00;;1 257,00
;A 688;2025-08-27;Administrative fee payment;;;500,00;;1 757,00
;;;"""Utgående saldo:""";;0,00;1 757,00;0,00;1 757,00
;;;;;;;;
6310 Företagsförsäkringar;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 18;2024-10-30;LF SRMLAND FRSKRINGSPREMIE F: 69006*00 (korrigerad med verifikation A241 av Mohammad Sami Alsharef, 2025-06-27);;;3 960,00;;3 960,00
;A 172;2024-10-30;Korrigering av ver.nr. A21, LF SRMLAND FRSKRINGSPREMIE F: 69006*00 (av Mohammad Sami Alsharef, 2025-06-27);;;;3 960,00;0,00
;A 173;2024-11-13;frskring;;;3 960,00;;3 960,00
;A 856;2025-10-17;Forsakring 53020525;;;3 763,00;;7 723,00
;;;"""Utgående saldo:""";;0,00;11 683,00;3 960,00;7 723,00
;;;;;;;;
6500 Övriga externa tjänster (gruppkonto);;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 988;2025-10-01;Google GSUITE - Fretagstjanst;;;63,77;;63,77
;A 1007;2025-10-11;Apple.com iCloud - Fretagstjanst;;;199,20;;262,97
;A 991;2025-10-13;Shopify Platform - E-handel;;;323,67;;586,64
;A 1006;2025-10-16;Apple.com iCloud - Fretagstjanst;;;14,40;;601,04
;A 974;2025-10-23;Fortnox Bokforingsprogram;;;119,20;;720,24
;A 975;2025-11-01;Fortnox Bokforingsprogram;;;119,20;;839,44
;A 986;2025-11-01;Google GSUITE - Fretagstjanst;;;63,12;;902,56
;A 992;2025-11-12;Shopify Platform - E-handel;;;400,49;;1 303,05
;A 976;2025-11-14;Fortnox Bokforingsprogram;;;19,20;;1 322,25
;A 1003;2025-11-16;Apple.com iCloud - Fretagstjanst;;;13,60;;1 335,85
;A 987;2025-12-01;Google GSUITE - Fretagstjanst;;;63,42;;1 399,27
;A 1004;2025-12-11;Apple.com iCloud - Fretagstjanst;;;199,20;;1 598,47
;A 977;2025-12-12;Fortnox Bokforingsprogram;;;119,20;;1 717,67
;A 1005;2025-12-16;Apple.com iCloud - Fretagstjanst;;;14,40;;1 732,07
;;;"""Utgående saldo:""";;0,00;1 732,07;0,00;1 732,07
;;;;;;;;
6540 IT-tjänster;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 63;2024-11-01;google GSUITE SAMISJAC;;;163,15;;163,15
;A 83;2024-12-17;GOOGLE Google Workspace;;;162,14;;325,29
;;;"""Utgående saldo:""";;0,00;325,29;0,00;325,29
;;;;;;;;
6570 Bankkostnader;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 597;2024-07-01;MÑnadsavgift;;;70,00;;70,00
;A 598;2024-07-01;MÑnadsavgift;;;70,00;;140,00
;A 599;2024-07-01;MÑnadsavgift;;;70,00;;210,00
;A 596;2024-08-01;MÑnadsavgift;;;70,00;;280,00
;A 595;2024-09-01;MÑnadsavgift;;;70,00;;350,00
;A 168;2024-10-01;BANKKOSTNADER;;;70,00;;420,00
;A 594;2024-10-01;MÑnadsavgift;;;70,00;;490,00
;A 412;2024-10-25;Bank details order checkout;;;520,00;;1 010,00
;A 167;2024-11-01;BANKKOSTNADER;;;70,00;;1 080,00
;A 592;2024-11-01;MÑnadsavgift;;;70,00;;1 150,00
;A 593;2024-11-01;MÑnadsavgift;;;70,00;;1 220,00
;A 339;2024-11-11;Sales Clearance Commission Cards;;;17,00;;1 237,00
;A 338;2024-11-14;Sales Clearance Commission Cards;;;32,00;;1 269,00
;A 337;2024-11-15;Sales Clearance Commission Cards;;;34,00;;1 303,00
;A 336;2024-11-17;Sales Clearance Commission Cards;;;32,00;;1 335,00
;A 335;2024-11-18;Sales Clearance Commission Cards;;;30,00;;1 365,00
;A 334;2024-11-22;Sales Clearance Commission Cards;;;34,00;;1 399,00
;A 332;2024-11-23;Sales Clearance Commission Cards;;;29,00;;1 428,00
;A 333;2024-11-23;Sales Clearance Commission Cards;;;3,00;;1 431,00
;A 329;2024-11-26;Sales Clearance Commission Cards;;;17,00;;1 448,00
;A 330;2024-11-26;Sales Clearance Commission Cards;;;32,00;;1 480,00
;A 331;2024-11-26;Sales Clearance Commission Cards;;;19,00;;1 499,00
;A 327;2024-11-27;Sales Clearance Commission Cards;;;26,00;;1 525,00
;A 328;2024-11-27;Sales Clearance Commission Cards;;;30,00;;1 555,00
;A 325;2024-11-29;Sales Clearance Commission Cards;;;17,00;;1 572,00
;A 326;2024-11-29;Sales Clearance Commission Cards;;;26,00;;1 598,00
;A 324;2024-11-30;Billing Fee - Account Default Plan (2024-10-31 - 2024-11-29);;;58,00;;1 656,00
;A 165;2024-12-01;BANKKOSTNADER;;;70,00;;1 726,00
;A 591;2024-12-01;MÑnadsavgift;;;70,00;;1 796,00
;A 323;2024-12-02;Sales Clearance Commission Cards;;;3,00;;1 799,00
;A 320;2024-12-04;Sales Clearance Commission Cards;;;32,00;;1 831,00
;A 322;2024-12-04;Sales Clearance Commission Cards;;;32,00;;1 863,00
;A 96;2024-12-05;Viva bankavgift retur;;;;45,83;1 817,17
;A 97;2024-12-05;BANKKOSTNADER;;;298,37;;2 115,54
;A 317;2024-12-05;Billing Fee - Foreign Currency Fee for Transaction Amount 900.49 USD (2024-12-04);;;298,00;;2 413,54
;A 316;2024-12-06;Sales Clearance Commission Cards;;;46,00;;2 459,54
;A 315;2024-12-07;Sales Clearance Commission Cards;;;23,00;;2 482,54
;A 313;2024-12-11;Sales Clearance Commission Cards;;;32,00;;2 514,54
;A 314;2024-12-11;Sales Clearance Commission Cards;;;23,00;;2 537,54
;A 312;2024-12-13;Sales Clearance Commission Cards;;;32,00;;2 569,54
;A 311;2024-12-14;Sales Clearance Commission Cards;;;28,00;;2 597,54
;A 310;2024-12-16;Sales Clearance Commission Cards;;;5,00;;2 602,54
;A 307;2024-12-20;Sales Clearance Commission Cards;;;17,00;;2 619,54
;A 308;2024-12-20;Sales Clearance Commission Cards;;;17,00;;2 636,54
;A 309;2024-12-20;Sales Clearance Commission Cards;;;17,00;;2 653,54
;A 305;2024-12-21;Sales Clearance Commission Cards;;;28,00;;2 681,54
;A 98;2024-12-22;Viva bankavgift retur;;;;0,81;2 680,73
;A 300;2024-12-23;Sales Clearance Commission Cards;;;23,00;;2 703,73
;A 301;2024-12-23;Sales Clearance Commission Cards;;;46,00;;2 749,73
;A 302;2024-12-23;Sales Clearance Commission Cards;;;32,00;;2 781,73
;A 303;2024-12-23;Sales Clearance Commission Cards;;;8,00;;2 789,73
;A 304;2024-12-23;Sales Clearance Commission Cards;;;8,00;;2 797,73
;A 299;2024-12-26;Sales Clearance Commission Cards;;;14,00;;2 811,73
;A 298;2024-12-27;Sales Clearance Commission Cards;;;7,00;;2 818,73
;A 296;2024-12-28;Sales Clearance Commission Cards;;;24,00;;2 842,73
;A 297;2024-12-28;Sales Clearance Commission Cards;;;37,00;;2 879,73
;A 294;2024-12-30;Sales Clearance Commission Cards;;;14,00;;2 893,73
;A 295;2024-12-30;Sales Clearance Commission Cards;;;37,00;;2 930,73
;A 340;2024-12-30;Viva Wallet - Money out to IBAN fee;;;6,00;;2 936,73
;A 99;2024-12-31;banktjnster avgift;;;58,00;;2 994,73
;A 292;2024-12-31;Billing Fee - Account Default Plan (2024-11-30 - 2024-12-30);;;58,00;;3 052,73
;A 293;2024-12-31;Sales Clearance Commission Cards;;;14,00;;3 066,73
;A 290;2025-01-02;Sales Clearance Commission Cards;;;14,00;;3 080,73
;A 291;2025-01-02;Sales Clearance Commission Cards;;;12,00;;3 092,73
;A 288;2025-01-06;Sales Clearance Commission Cards;;;43,00;;3 135,73
;A 289;2025-01-06;Sales Clearance Commission Cards;;;46,00;;3 181,73
;A 285;2025-01-07;Sales Clearance Commission Cards;;;32,00;;3 213,73
;A 286;2025-01-07;Sales Clearance Commission Cards;;;35,00;;3 248,73
;A 287;2025-01-07;Sales Clearance Commission Cards;;;17,00;;3 265,73
;A 283;2025-01-10;Sales Clearance Commission Cards;;;30,00;;3 295,73
;A 280;2025-01-13;Sales Clearance Commission Cards;;;22,00;;3 317,73
;A 279;2025-01-14;Sales Clearance Commission Cards;;;23,00;;3 340,73
;A 278;2025-01-15;Sales Clearance Commission Cards;;;20,00;;3 360,73
;A 276;2025-01-16;Sales Clearance Commission Cards;;;13,00;;3 373,73
;A 275;2025-01-17;Sales Clearance Commission Cards;;;11,00;;3 384,73
;A 273;2025-01-19;Sales Clearance Commission Cards;;;11,00;;3 395,73
;A 274;2025-01-19;Sales Clearance Commission Cards;;;25,00;;3 420,73
;A 257;2025-01-20;Sales Clearance Commission Cards;;;11,00;;3 431,73
;A 271;2025-01-20;Sales Clearance Commission Cards;;;13,00;;3 444,73
;A 272;2025-01-20;Sales Clearance Commission Cards;;;13,00;;3 457,73
;A 255;2025-01-21;Sales Clearance Commission Cards;;;16,00;;3 473,73
;A 256;2025-01-21;Sales Clearance Commission Cards;;;25,00;;3 498,73
;A 244;2025-01-24;Sales Clearance Commission Cards;;;69,00;;3 567,73
;A 245;2025-01-24;Sales Clearance Commission Cards;;;30,00;;3 597,73
;A 246;2025-01-24;Sales Clearance Commission Cards;;;42,00;;3 639,73
;A 247;2025-01-24;Sales Clearance Commission Cards;;;12,00;;3 651,73
;A 241;2025-01-26;Sales Clearance Commission Cards;;;5,00;;3 656,73
;A 237;2025-01-27;Sales Clearance Commission Cards;;;3,00;;3 659,73
;A 238;2025-01-27;Sales Clearance Commission Cards;;;75,00;;3 734,73
;A 239;2025-01-27;Sales Clearance Commission Cards;;;15,00;;3 749,73
;A 240;2025-01-27;Sales Clearance Commission Cards;;;13,00;;3 762,73
;A 231;2025-01-28;Sales Clearance Commission Cards;;;17,00;;3 779,73
;A 233;2025-01-28;Sales Clearance Commission Cards;;;13,00;;3 792,73
;A 230;2025-01-29;Sales Clearance Commission Cards;;;45,00;;3 837,73
;A 223;2025-01-31;Billing Fee - Account Default Plan (2024-12-31 - 2025-01-30);;;58,00;;3 895,73
;A 224;2025-01-31;Sales Clearance Commission Cards;;;22,00;;3 917,73
;A 227;2025-01-31;Sales Clearance Commission Cards;;;7,00;;3 924,73
;A 220;2025-02-01;Sales Clearance Commission Cards;;;13,00;;3 937,73
;A 221;2025-02-01;Sales Clearance Commission Cards;;;16,00;;3 953,73
;A 590;2025-02-01;MÑnadsavgift;;;70,00;;4 023,73
;A 219;2025-02-02;Sales Clearance Commission Cards;;;25,00;;4 048,73
;A 216;2025-02-03;Sales Clearance Commission Cards;;;3,00;;4 051,73
;A 217;2025-02-03;Sales Clearance Commission Cards;;;42,00;;4 093,73
;A 218;2025-02-03;Sales Clearance Commission Cards;;;8,00;;4 101,73
;A 212;2025-02-04;Sales Clearance Commission Cards;;;8,00;;4 109,73
;A 215;2025-02-04;Sales Clearance Commission Cards;;;3,00;;4 112,73
;A 211;2025-02-05;Sales Clearance Commission Cards;;;11,00;;4 123,73
;A 207;2025-02-07;Sales Clearance Commission Cards;;;16,00;;4 139,73
;A 202;2025-02-09;Sales Clearance Commission Cards;;;20,00;;4 159,73
;A 183;2025-02-19;Billing Fee - Foreign Currency Fee for Transaction Amount 41.72 EUR (2025-02-18);;;14,00;;4 173,73
;A 180;2025-02-28;Billing Fee - In-Person Default (2025-01-31 - 2025-02-27);;;58,00;;4 231,73
;A 629;2025-07-01;Bank fee - Marginalen monthly;;;70,00;;4 301,73
;A 661;2025-07-30;Card terminal maintenance fee;;;248,00;;4 549,73
;A 664;2025-08-01;Bank fee - August monthly;;;70,00;;4 619,73
;A 702;2025-09-01;Bank fee - September monthly;;;70,00;;4 689,73
;A 709;2025-09-03;Bank service fees;;;248,00;;4 937,73
;A 738;2025-09-26;Plusgiro service fee;;;248,00;;5 185,73
;A 753;2025-09-30;Worldline transaction fees Q3 2025;;;772,36;;5 958,09
;A 841;2025-10-01;Manadsavgift Foretagskonto okt;;;70,00;;6 028,09
;A 778;2025-10-06;Wise avgift SEK 26.20 SEK;;;26,20;;6 054,29
;A 779;2025-10-06;SEK till TRY 12486 SEK kurs 4.43116;;;53,46;;6 107,75
;A 780;2025-10-06;EUR till TRY 124.81 EUR kurs 48.6857;;;6,34;;6 114,09
;A 781;2025-10-06;Loan repayment TRY 61066.41 TRY;;;;100,62;6 013,47
;A 848;2025-10-08;Bankgiro betalning 2027001;;;400,00;;6 413,47
;A 783;2025-10-10;SEK till USD 2870 SEK kurs 0.105;;;12,86;;6 426,33
;A 855;2025-10-17;Svea Ekonomi kortterminal;;;198,40;;6 624,73
;A 941;2025-10-31;Worldline avgift oktober;;;400,67;;7 025,40
;A 794;2025-11-01;TikTok Ads EUR 23.45 EUR kurs 10.9513;;;2,29;;7 027,69
;A 870;2025-11-01;Manadsavgift Foretagskonto nov;;;70,00;;7 097,69
;A 795;2025-11-02;Hallon EUR 11.78 EUR kurs 10.9513;;;0,88;;7 098,57
;A 874;2025-11-07;Bank avgift enskildfirma samis;;;1 000,00;;8 098,57
;A 799;2025-11-14;Shipit.se frakt EUR 91.08 EUR kurs 10.9795;;;4,63;;8 103,20
;A 882;2025-11-17;Svea Ekonomi kortterminal;;;198,40;;8 301,60
;A 800;2025-11-19;TikTok Ads EUR 178.32 EUR kurs 11.0027;;;12,10;;8 313,70
